state,district,financial_year,region,state_category,person_days_lakhs,expenditure_lakhs,avg_wage_rate,households_demanded,households_offered,households_availed,works_completed,rainfall_mm,crop_season_index,rural_population_lakhs,poverty_rate_pct,pmkisan_beneficiaries,pmkisan_amount_lakhs,pmay_houses_sanctioned,pmay_houses_completed,pmay_expenditure_lakhs,budget_allocated_lakhs
Rajasthan,Rajasthan_District_1,2014-15,Region_1,high,18.32,2764.27,162,1832.0,1571.0,1512.0,19.0,777.62,0.18,28.77,33.0,982751.0,57834.31,4864.0,2432.0,3525.75,2990.52
Rajasthan,Rajasthan_District_1,2015-16,Region_1,high,16.98,2799.56,176,1698.0,1510.0,1386.0,16.0,1063.78,0.46,28.77,32.7,742917.0,44774.45,1127.0,619.0,797.05,3093.39
Rajasthan,Rajasthan_District_1,2016-17,Region_1,high,19.04,3627.06,190,1903.0,1764.0,1510.0,19.0,874.11,0.3,28.77,32.4,673469.0,39705.12,4769.0,2861.0,4262.0,4248.23
Rajasthan,Rajasthan_District_1,2017-18,Region_1,high,17.63,3306.74,204,1762.0,1654.0,1500.0,14.0,1119.54,0.31,28.77,32.1,860260.0,50654.29,,2984.0,3812.46,3800.7
Rajasthan,Rajasthan_District_1,2018-19,Region_1,high,17.05,3483.22,218,1705.0,1664.0,1582.0,20.0,1555.66,0.05,28.77,31.8,1090202.0,65668.27,,3253.0,3989.96,3759.78
Rajasthan,Rajasthan_District_1,2019-20,Region_1,high,17.36,3886.58,232,1735.0,1562.0,,19.0,1238.73,0.07,28.77,31.5,,46426.61,2942.0,2206.0,2740.46,4548.58
Rajasthan,Rajasthan_District_1,2020-21,Region_1,high,26.96,6936.36,246,2696.0,2561.0,2201.0,,1116.42,0.31,28.77,31.2,642023.0,39080.87,3304.0,2643.0,3433.97,7349.31
Rajasthan,Rajasthan_District_1,2021-22,Region_1,high,18.92,4746.11,260,1891.0,1786.0,1666.0,21.0,1177.55,0.77,28.77,30.9,847049.0,50049.61,3709.0,3152.0,4501.8,5383.0
Rajasthan,Rajasthan_District_1,2022-23,Region_1,high,18.27,4934.73,274,1827.0,1558.0,1346.0,14.0,1674.46,0.41,28.77,30.6,941520.0,56071.71,2788.0,2509.0,3693.93,5365.99
Rajasthan,Rajasthan_District_1,2023-24,Region_1,high,21.51,6512.4,288,2151.0,1892.0,1627.0,19.0,815.92,0.8,28.77,30.3,668116.0,40775.97,4136.0,3929.0,5461.39,7689.31
