state,district,financial_year,households_demanded,households_offered,households_availed,person_days_lakhs,expenditure_lakhs,avg_wage_rate,works_completed
Maharashtra,Ahmednagar,2014-15,20242.0,19839.0,18703.0,7.032,1377.49,162,243.0
Maharashtra,Ahmednagar,2015-16,21845.0,20293.0,18680.0,7.355,1611.1,174,248.0
Maharashtra,Ahmednagar,2016-17,22307.0,,19102.0,7.486,1769.86,183,142.0
Maharashtra,Ahmednagar,2017-18,23927.0,23282.0,21231.0,8.168,2165.45,194,
Maharashtra,Ahmednagar,2018-19,22112.0,21065.0,18620.0,7.857,1945.9,203,232.0
Maharashtra,Ahmednagar,2019-20,29513.0,27825.0,25413.0,9.78,2659.32,213,207.0
Maharashtra,Ahmednagar,2020-21,33653.0,31495.0,29614.0,11.651,3523.87,238,374.0
Maharashtra,Ahmednagar,2021-22,25389.0,,23654.0,8.923,2882.48,256,204.0
Maharashtra,Ahmednagar,2022-23,26469.0,24721.0,21770.0,9.454,3441.64,273,
Maharashtra,Ahmednagar,2023-24,23320.0,22203.0,20675.0,7.856,2763.86,289,
Maharashtra,Akola,2014-15,21439.0,20572.0,19519.0,7.426,1634.24,162,203.0
Maharashtra,Akola,2015-16,24981.0,23036.0,21177.0,8.787,1957.06,174,
Maharashtra,Akola,2016-17,22010.0,20339.0,18413.0,7.792,1846.3,183,227.0
Maharashtra,Akola,2017-18,25450.0,24597.0,22544.0,8.571,2314.44,194,178.0
Maharashtra,Akola,2018-19,25259.0,24515.0,22592.0,9.064,2336.89,203,240.0
Maharashtra,Akola,2019-20,29739.0,28288.0,25863.0,10.094,2786.93,213,289.0
Maharashtra,Akola,2020-21,33134.0,30756.0,,11.892,3989.67,238,355.0
Maharashtra,Akola,2021-22,32791.0,31955.0,30182.0,10.865,3682.15,256,245.0
Maharashtra,Akola,2022-23,28655.0,27276.0,24499.0,9.55,3381.66,273,265.0
Maharashtra,Akola,2023-24,28768.0,27994.0,26447.0,9.626,3674.06,289,275.0
Maharashtra,Amravati,2014-15,39663.0,36724.0,33691.0,13.518,2696.53,162,356.0
Maharashtra,Amravati,2015-16,38158.0,35381.0,33006.0,13.622,2974.97,174,459.0
Maharashtra,Amravati,2016-17,,35116.0,30974.0,12.797,3279.21,183,335.0
Maharashtra,Amravati,2017-18,38663.0,36887.0,34089.0,13.883,3761.08,194,384.0
Maharashtra,Amravati,2018-19,34470.0,32512.0,30134.0,12.166,3221.76,203,223.0
Maharashtra,Amravati,2019-20,,,41836.0,16.135,4274.35,213,474.0
Maharashtra,Amravati,2020-21,61030.0,59431.0,52875.0,20.657,6845.64,238,452.0
Maharashtra,Amravati,2021-22,46548.0,44032.0,,16.001,5622.3,256,374.0
Maharashtra,Amravati,2022-23,47581.0,,41079.0,16.756,6386.27,273,348.0
Maharashtra,Amravati,2023-24,43027.0,42573.0,40880.0,14.952,5883.64,289,495.0
Maharashtra,Aurangabad,2014-15,18576.0,17500.0,,6.406,1343.44,162,
Maharashtra,Aurangabad,2015-16,20851.0,19565.0,18866.0,7.045,1495.47,174,141.0
Maharashtra,Aurangabad,2016-17,21967.0,20485.0,19131.0,7.836,1910.27,183,167.0
Maharashtra,Aurangabad,2017-18,20085.0,19844.0,,6.768,1579.11,194,123.0
Maharashtra,Aurangabad,2018-19,23358.0,22597.0,20133.0,8.349,2147.22,203,248.0
Maharashtra,Aurangabad,2019-20,20552.0,,18948.0,7.299,2033.85,213,147.0
Maharashtra,Aurangabad,2020-21,30261.0,28875.0,27132.0,10.647,3412.02,238,243.0
Maharashtra,Aurangabad,2021-22,24029.0,23040.0,21589.0,8.676,2656.25,256,176.0
Maharashtra,Aurangabad,2022-23,25628.0,24647.0,23759.0,8.494,3060.18,273,220.0
Maharashtra,Aurangabad,2023-24,21779.0,,19286.0,7.869,2998.13,289,172.0
Maharashtra,Beed,2014-15,28243.0,27699.0,25878.0,9.664,2209.08,162,235.0
Maharashtra,Beed,2015-16,32763.0,32131.0,29587.0,11.164,2677.14,174,245.0
Maharashtra,Beed,2016-17,29088.0,26975.0,23899.0,9.768,2587.32,183,200.0
Maharashtra,Beed,2017-18,34840.0,32403.0,31200.0,12.247,3235.24,194,279.0
Maharashtra,Beed,2018-19,31824.0,29325.0,25952.0,11.392,3153.27,203,215.0
Maharashtra,Beed,2019-20,36700.0,34775.0,31597.0,12.474,3797.93,213,410.0
Maharashtra,Beed,2020-21,43929.0,40972.0,36928.0,15.833,5194.27,238,438.0
Maharashtra,Beed,2021-22,39345.0,37226.0,34513.0,14.173,4894.12,256,455.0
Maharashtra,Beed,2022-23,38732.0,35902.0,,12.883,5307.46,273,
Maharashtra,Beed,2023-24,35649.0,,32683.0,12.01,4704.75,289,325.0
Maharashtra,Bhandara,2014-15,22081.0,21029.0,19234.0,7.388,1648.99,162,166.0
Maharashtra,Bhandara,2015-16,21778.0,,18623.0,7.538,1739.69,174,182.0
Maharashtra,Bhandara,2016-17,22131.0,21422.0,19423.0,7.73,2031.75,183,259.0
Maharashtra,Bhandara,2017-18,26104.0,,23903.0,9.161,2452.89,194,290.0
Maharashtra,Bhandara,2018-19,24672.0,23195.0,21945.0,8.421,2213.96,203,
Maharashtra,Bhandara,2019-20,26058.0,24146.0,22825.0,8.909,2415.31,213,
Maharashtra,Bhandara,2020-21,,36530.0,34098.0,12.412,4149.77,238,
Maharashtra,Bhandara,2021-22,,26081.0,23174.0,9.588,3370.76,256,200.0
Maharashtra,Bhandara,2022-23,29793.0,28381.0,26310.0,10.225,3911.59,273,
Maharashtra,Bhandara,2023-24,30199.0,29751.0,26501.0,10.339,3821.27,289,201.0
Maharashtra,Buldhana,2014-15,29562.0,28799.0,27082.0,10.289,2170.58,162,342.0
Maharashtra,Buldhana,2015-16,30594.0,28926.0,26273.0,10.794,2384.23,174,221.0
Maharashtra,Buldhana,2016-17,33434.0,31656.0,29936.0,11.616,2855.28,183,393.0
Maharashtra,Buldhana,2017-18,32847.0,31084.0,30114.0,11.369,3030.37,194,388.0
Maharashtra,Buldhana,2018-19,36613.0,35316.0,31465.0,12.258,3358.75,203,
Maharashtra,Buldhana,2019-20,35986.0,35186.0,31899.0,12.484,3524.76,213,318.0
Maharashtra,Buldhana,2020-21,52995.0,51653.0,,17.637,5986.11,238,581.0
Maharashtra,Buldhana,2021-22,40849.0,37885.0,36745.0,13.692,4782.07,256,397.0
Maharashtra,Buldhana,2022-23,41001.0,37804.0,34086.0,13.671,4727.43,273,426.0
Maharashtra,Buldhana,2023-24,40465.0,39086.0,34522.0,13.476,4833.2,289,
Maharashtra,Chandrapur,2014-15,,28322.0,27088.0,10.167,2175.92,162,321.0
Maharashtra,Chandrapur,2015-16,36368.0,35235.0,33664.0,12.261,2811.25,174,262.0
Maharashtra,Chandrapur,2016-17,41004.0,40166.0,35907.0,14.0,3726.89,183,297.0
Maharashtra,Chandrapur,2017-18,37978.0,,35106.0,12.874,3298.3,194,366.0
Maharashtra,Chandrapur,2018-19,43025.0,41720.0,37363.0,14.362,3871.57,203,303.0
Maharashtra,Chandrapur,2019-20,38937.0,37959.0,35578.0,13.502,4091.69,213,276.0
Maharashtra,Chandrapur,2020-21,62585.0,60110.0,56682.0,22.018,7534.97,238,748.0
Maharashtra,Chandrapur,2021-22,49617.0,47050.0,43411.0,17.128,5846.38,256,347.0
Maharashtra,Chandrapur,2022-23,43962.0,41761.0,39046.0,15.461,6057.09,273,386.0
Maharashtra,Chandrapur,2023-24,39870.0,38322.0,34816.0,14.136,5380.32,289,355.0
Maharashtra,Dhule,2014-15,24792.0,23802.0,22157.0,8.784,2090.34,162,254.0
Maharashtra,Dhule,2015-16,23614.0,23026.0,21400.0,8.296,2042.41,174,
Maharashtra,Dhule,2016-17,28674.0,27858.0,26737.0,9.894,2739.14,183,262.0
Maharashtra,Dhule,2017-18,25400.0,23927.0,22859.0,8.542,2365.38,194,170.0
Maharashtra,Dhule,2018-19,28426.0,26262.0,23773.0,9.524,2697.82,203,199.0
Maharashtra,Dhule,2019-20,30120.0,27741.0,26477.0,10.181,3252.49,213,247.0
Maharashtra,Dhule,2020-21,40961.0,38027.0,34712.0,14.022,5073.4,238,489.0
Maharashtra,Dhule,2021-22,,30992.0,29240.0,11.252,4050.56,256,325.0
Maharashtra,Dhule,2022-23,28039.0,26826.0,24002.0,9.95,3698.87,273,320.0
Maharashtra,Dhule,2023-24,31854.0,31176.0,30213.0,10.949,4293.42,289,280.0
Maharashtra,Gadchiroli,2014-15,42425.0,41274.0,37932.0,15.238,3413.8,162,313.0
Maharashtra,Gadchiroli,2015-16,46688.0,43098.0,38829.0,15.553,3649.25,174,409.0
Maharashtra,Gadchiroli,2016-17,53194.0,49251.0,44420.0,18.388,4898.3,183,530.0
Maharashtra,Gadchiroli,2017-18,51014.0,49657.0,,17.355,4588.75,194,471.0
Maharashtra,Gadchiroli,2018-19,57791.0,55119.0,52317.0,19.358,5726.9,203,514.0
Maharashtra,Gadchiroli,2019-20,55457.0,54321.0,,19.007,5622.1,213,513.0
Maharashtra,Gadchiroli,2020-21,72148.0,71009.0,66519.0,25.156,7940.04,238,597.0
Maharashtra,Gadchiroli,2021-22,64669.0,63693.0,58619.0,23.349,8078.19,256,657.0
Maharashtra,Gadchiroli,2022-23,57444.0,55675.0,52169.0,20.253,8197.32,273,578.0
Maharashtra,Gadchiroli,2023-24,64383.0,63303.0,59812.0,21.725,9285.84,289,
Maharashtra,Gondia,2014-15,19544.0,18982.0,17455.0,6.997,1502.61,162,203.0
Maharashtra,Gondia,2015-16,26938.0,25326.0,23959.0,8.913,2112.11,174,
Maharashtra,Gondia,2016-17,20086.0,19572.0,18085.0,7.241,1862.15,183,187.0
Maharashtra,Gondia,2017-18,21261.0,20741.0,18410.0,7.404,1904.77,194,234.0
Maharashtra,Gondia,2018-19,,25392.0,23196.0,9.237,2311.4,203,183.0
Maharashtra,Gondia,2019-20,28029.0,27304.0,26154.0,9.499,2751.43,213,300.0
Maharashtra,Gondia,2020-21,37071.0,35719.0,34191.0,13.123,3824.57,238,351.0
Maharashtra,Gondia,2021-22,28310.0,26840.0,25782.0,10.217,3524.11,256,225.0
Maharashtra,Gondia,2022-23,23227.0,22756.0,20637.0,8.137,2959.68,273,201.0
Maharashtra,Gondia,2023-24,28224.0,26336.0,23376.0,9.419,3502.59,289,284.0
Maharashtra,Hingoli,2014-15,29407.0,27664.0,25359.0,9.718,2075.47,162,269.0
Maharashtra,Hingoli,2015-16,24712.0,24318.0,22487.0,8.622,1976.89,174,208.0
Maharashtra,Hingoli,2016-17,26059.0,24006.0,22104.0,9.253,2396.16,183,220.0
Maharashtra,Hingoli,2017-18,30518.0,29682.0,27564.0,10.12,2644.6,194,336.0
Maharashtra,Hingoli,2018-19,27344.0,26896.0,24950.0,9.599,2798.08,203,269.0
Maharashtra,Hingoli,2019-20,33146.0,31054.0,28228.0,11.663,3283.93,213,383.0
Maharashtra,Hingoli,2020-21,47247.0,46086.0,43806.0,16.231,5318.99,238,423.0
Maharashtra,Hingoli,2021-22,41834.0,40872.0,,14.226,5261.82,256,300.0
Maharashtra,Hingoli,2022-23,35303.0,34092.0,32932.0,12.654,4806.42,273,320.0
Maharashtra,Hingoli,2023-24,37867.0,35110.0,31026.0,12.557,4860.87,289,240.0
Maharashtra,Jalgaon,2014-15,17066.0,16074.0,14218.0,5.887,1171.23,162,
Maharashtra,Jalgaon,2015-16,21067.0,19686.0,17858.0,7.149,1591.57,174,179.0
Maharashtra,Jalgaon,2016-17,18994.0,18621.0,16388.0,6.801,1618.31,183,179.0
Maharashtra,Jalgaon,2017-18,18009.0,17552.0,16774.0,6.261,1524.43,194,147.0
Maharashtra,Jalgaon,2018-19,,17389.0,15659.0,6.219,1600.59,203,210.0
Maharashtra,Jalgaon,2019-20,20623.0,20000.0,17870.0,7.15,1852.49,213,
Maharashtra,Jalgaon,2020-21,,28230.0,24921.0,10.939,3196.81,238,312.0
Maharashtra,Jalgaon,2021-22,,26609.0,25450.0,9.503,2940.28,256,308.0
Maharashtra,Jalgaon,2022-23,25714.0,25048.0,23970.0,9.164,3137.37,273,308.0
Maharashtra,Jalgaon,2023-24,21692.0,21451.0,19574.0,7.424,2908.62,289,173.0
Maharashtra,Jalna,2014-15,25423.0,23774.0,21806.0,8.703,1856.6,162,168.0
Maharashtra,Jalna,2015-16,25775.0,23747.0,21251.0,9.03,2190.31,174,271.0
Maharashtra,Jalna,2016-17,28771.0,28261.0,26380.0,10.107,2368.62,183,206.0
Maharashtra,Jalna,2017-18,24147.0,23072.0,22362.0,8.597,2097.4,194,157.0
Maharashtra,Jalna,2018-19,32183.0,29894.0,28720.0,11.033,3187.83,203,299.0
